model_name,split,threshold_type,tp,fp,tn,fn
kfold_avg_XGBoost,Full,cost,6.4,9.0,465.8,1.2
kfold_avg_XGBoost,Full,accuracy,4.8,2.2,472.6,2.8
kfold_avg_RandomForest,Full,cost,6.6,8.4,466.4,1.0
kfold_avg_RandomForest,Full,accuracy,5.6,1.4,473.4,2.0
kfold_avg_AD,Full,cost,5.8,78.0,396.8,1.8
kfold_avg_AD,Full,accuracy,0.8,34.4,440.4,6.8
kfold_avg_CL,Full,cost,0.8,2.4,472.4,6.8
kfold_avg_CL,Full,accuracy,0.8,2.4,472.4,6.8
AD_Decision,Full,base,35.0,1648.0,726.0,3.0
CL_Decision,Full,base,24.0,317.0,2057.0,14.0
AD_or_CL_Fail,Full,base,35.0,1653.0,721.0,3.0
