Feature,Importance
CLGood,0.10101741
SSPorosity,0.06907575
CLPorosity,0.057588834
x4,0.056988206
conf1,0.05510355
conf2,0.051496115
x3,0.048272263
conf4,0.04552269
PHI,0.04346347
OD1_Conf,0.038880225
Length1,0.037833914
y4,0.03388583
CL_ConfMargin,0.032502577
Length2,0.030338759
y2,0.030071765
SSNotching,0.026695691
y3,0.026491873
conf3,0.026357463
y1,0.025729507
SSbackground,0.024514632
RegionCount,0.015957627
x2,0.014223901
CLBurn Through,0.01412338
x1,0.013982229
Row1,0.0122026205
MaxVal,0.011694239
CLNotching,0.0109086055
SSGood,0.010499444
RegionArea,0.010294149
CL_ConfMax,0.008440515
AnomalyScore,0.008216266
Col1,0.007626519
OD1_ClassID,0.0
